date,item_id,starting_stock,wastage_units,reorder_threshold,supplier_lead_days
2025-09-06,ITEM_08,75,1,18,2
2025-09-07,ITEM_01,212,1,51,1
2025-09-07,ITEM_02,100,3,24,2
2025-09-07,ITEM_03,87,2,21,2
2025-09-07,ITEM_04,125,1,30,1
2025-09-07,ITEM_05,150,4,36,1
2025-09-07,ITEM_06,37,3,9,2
2025-09-07,ITEM_07,62,3,15,2
2025-09-07,ITEM_08,75,1,18,2
2025-09-08,ITEM_01,212,3,51,1
2025-09-08,ITEM_02,100,0,24,2
2025-09-08,ITEM_03,87,1,21,2
2025-09-08,ITEM_04,125,1,30,1
2025-09-08,ITEM_05,150,2,36,1
2025-09-08,ITEM_06,37,1,9,2
2025-09-08,ITEM_07,62,1,15,2
2025-09-08,ITEM_08,75,0,18,2
2025-09-09,ITEM_01,212,2,51,1
2025-09-09,ITEM_02,100,0,24,2
2025-09-09,ITEM_03,87,4,21,2
2025-09-09,ITEM_04,125,0,30,1
2025-09-09,ITEM_05,150,2,36,1
2025-09-09,ITEM_06,37,2,9,2
2025-09-09,ITEM_07,62,6,15,2
2025-09-09,ITEM_08,75,2,18,2
2025-09-10,ITEM_01,212,0,51,1
2025-09-10,ITEM_02,100,5,24,2
2025-09-10,ITEM_03,87,1,21,2
2025-09-10,ITEM_04,125,4,30,1
2025-09-10,ITEM_05,150,1,36,1
2025-09-10,ITEM_06,37,3,9,2
2025-09-10,ITEM_07,62,2,15,2
2025-09-10,ITEM_08,75,2,18,2
2025-09-11,ITEM_01,212,3,51,1
2025-09-11,ITEM_02,100,1,24,2
2025-09-11,ITEM_03,87,2,21,2
2025-09-11,ITEM_04,125,2,30,1
2025-09-11,ITEM_05,150,2,36,1
2025-09-11,ITEM_06,37,0,9,2
2025-09-11,ITEM_07,62,0,15,2
2025-09-11,ITEM_08,75,1,18,2
2025-09-12,ITEM_01,212,5,51,1
2025-09-12,ITEM_02,100,1,24,2
2025-09-12,ITEM_03,87,3,21,2
2025-09-12,ITEM_04,125,1,30,1
2025-09-12,ITEM_05,150,4,36,1
2025-09-12,ITEM_06,37,2,9,2
2025-09-12,ITEM_07,62,1,15,2
2025-09-12,ITEM_08,75,1,18,2
2025-09-13,ITEM_01,212,3,51,1
2025-09-13,ITEM_02,100,2,24,2
2025-09-13,ITEM_03,87,0,21,2
2025-09-13,ITEM_04,125,1,30,1
2025-09-13,ITEM_05,150,3,36,1
2025-09-13,ITEM_06,37,2,9,2
2025-09-13,ITEM_07,62,2,15,2
2025-09-13,ITEM_08,75,1,18,2
2025-09-14,ITEM_01,212,1,51,1
2025-09-14,ITEM_02,100,4,24,2
2025-09-14,ITEM_03,87,2,21,2
2025-09-14,ITEM_04,125,1,30,1
2025-09-14,ITEM_05,150,2,36,1
2025-09-14,ITEM_06,37,6,9,2
2025-09-14,ITEM_07,62,30,15,2
2025-09-14,ITEM_08,75,1,18,2
2025-09-15,ITEM_01,212,2,51,1
2025-09-15,ITEM_02,100,3,24,2
2025-09-15,ITEM_03,87,0,21,2
2025-09-15,ITEM_04,125,1,30,1
2025-09-15,ITEM_05,150,1,36,1
2025-09-15,ITEM_06,37,2,9,2
2025-09-15,ITEM_07,62,2,15,2
2025-09-15,ITEM_08,75,1,18,2
2025-09-16,ITEM_01,212,5,51,1
2025-09-16,ITEM_02,100,2,24,2
2025-09-16,ITEM_03,87,5,21,2
2025-09-16,ITEM_04,125,3,30,1
2025-09-16,ITEM_05,150,2,36,1
2025-09-16,ITEM_06,37,3,9,2
2025-09-16,ITEM_07,62,1,15,2
2025-09-16,ITEM_08,75,2,18,2
2025-09-17,ITEM_01,212,4,51,1
2025-09-17,ITEM_02,100,1,24,2
2025-09-17,ITEM_03,87,4,21,2
2025-09-17,ITEM_04,125,2,30,1
2025-09-17,ITEM_05,150,3,36,1
2025-09-17,ITEM_06,37,2,9,2
2025-09-17,ITEM_07,62,2,15,2
2025-09-17,ITEM_08,75,0,18,2
2025-09-18,ITEM_01,212,3,51,1
2025-09-18,ITEM_02,100,7,24,2
2025-09-18,ITEM_03,87,2,21,2
2025-09-18,ITEM_04,125,3,30,1
2025-09-18,ITEM_05,150,3,36,1
2025-09-18,ITEM_06,37,4,9,2
2025-09-18,ITEM_07,62,0,15,2
2025-09-18,ITEM_08,75,0,18,2
2025-09-19,ITEM_01,212,1,51,1
2025-09-19,ITEM_02,100,0,24,2
2025-09-19,ITEM_03,87,2,21,2
2025-09-19,ITEM_04,125,32,30,1
2025-09-19,ITEM_05,150,4,36,1
2025-09-19,ITEM_06,37,1,9,2
2025-09-19,ITEM_07,62,3,15,2
2025-09-19,ITEM_08,75,2,18,2
2025-09-20,ITEM_01,212,1,51,1
2025-09-20,ITEM_02,100,3,24,2
2025-09-20,ITEM_03,87,0,21,2
2025-09-20,ITEM_04,125,3,30,1
2025-09-20,ITEM_05,150,8,36,1
2025-09-20,ITEM_06,37,2,9,2
2025-09-20,ITEM_07,62,3,15,2
2025-09-20,ITEM_08,75,2,18,2
2025-09-21,ITEM_01,212,4,51,1
2025-09-21,ITEM_02,100,2,24,2
2025-09-21,ITEM_03,87,3,21,2
2025-09-21,ITEM_04,125,2,30,1
2025-09-21,ITEM_05,150,1,36,1
2025-09-21,ITEM_06,37,0,9,2
2025-09-21,ITEM_07,62,3,15,2
2025-09-21,ITEM_08,75,2,18,2
2025-09-22,ITEM_01,212,2,51,1
2025-09-22,ITEM_02,100,3,24,2
2025-09-22,ITEM_03,87,0,21,2
2025-09-22,ITEM_04,125,1,30,1
2025-09-22,ITEM_05,150,1,36,1
2025-09-22,ITEM_06,37,2,9,2
2025-09-22,ITEM_07,62,1,15,2
2025-09-22,ITEM_08,75,0,18,2
2025-09-23,ITEM_01,212,0,51,1
2025-09-23,ITEM_02,100,2,24,2
2025-09-23,ITEM_03,87,1,21,2
2025-09-23,ITEM_04,125,4,30,1
2025-09-23,ITEM_05,150,2,36,1
2025-09-23,ITEM_06,37,3,9,2
2025-09-23,ITEM_07,62,4,15,2
2025-09-23,ITEM_08,75,0,18,2
2025-09-24,ITEM_01,212,24,51,1
2025-09-24,ITEM_02,100,1,24,2
2025-09-24,ITEM_03,87,2,21,2
2025-09-24,ITEM_04,125,2,30,1
2025-09-24,ITEM_05,150,0,36,1
2025-09-24,ITEM_06,37,3,9,2
2025-09-24,ITEM_07,62,3,15,2
2025-09-24,ITEM_08,75,2,18,2
2025-09-25,ITEM_01,212,2,51,1
2025-09-25,ITEM_02,100,4,24,2
2025-09-25,ITEM_03,87,0,21,2
2025-09-25,ITEM_04,125,2,30,1
2025-09-25,ITEM_05,150,2,36,1
2025-09-25,ITEM_06,37,1,9,2
2025-09-25,ITEM_07,62,3,15,2
2025-09-25,ITEM_08,75,2,18,2
2025-09-26,ITEM_01,212,2,51,1
2025-09-26,ITEM_02,100,3,24,2
2025-09-26,ITEM_03,87,3,21,2
2025-09-26,ITEM_04,125,2,30,1
2025-09-26,ITEM_05,150,2,36,1
2025-09-26,ITEM_06,37,6,9,2
2025-09-26,ITEM_07,62,3,15,2
2025-09-26,ITEM_08,75,1,18,2
2025-09-27,ITEM_01,212,1,51,1
2025-09-27,ITEM_02,100,3,24,2
2025-09-27,ITEM_03,87,0,21,2
2025-09-27,ITEM_04,125,2,30,1
2025-09-27,ITEM_05,150,1,36,1
2025-09-27,ITEM_06,37,3,9,2
2025-09-27,ITEM_07,62,3,15,2
2025-09-27,ITEM_08,75,1,18,2
2025-09-28,ITEM_01,212,1,51,1
2025-09-28,ITEM_02,100,1,24,2
2025-09-28,ITEM_03,87,2,21,2
2025-09-28,ITEM_04,125,3,30,1
2025-09-28,ITEM_05,150,4,36,1
2025-09-28,ITEM_06,37,2,9,2
2025-09-28,ITEM_07,62,2,15,2
2025-09-28,ITEM_08,75,1,18,2
2025-09-29,ITEM_01,212,3,51,1
2025-09-29,ITEM_02,100,2,24,2
2025-09-29,ITEM_03,87,1,21,2
2025-09-29,ITEM_04,125,1,30,1
2025-09-29,ITEM_05,150,2,36,1
2025-09-29,ITEM_06,37,2,9,2
2025-09-29,ITEM_07,62,1,15,2
2025-09-29,ITEM_08,75,1,18,2
2025-09-30,ITEM_01,212,2,51,1
2025-09-30,ITEM_02,100,3,24,2
2025-09-30,ITEM_03,87,0,21,2
2025-09-30,ITEM_04,125,2,30,1
2025-09-30,ITEM_05,150,1,36,1
2025-09-30,ITEM_06,37,1,9,2
2025-09-30,ITEM_07,62,2,15,2
2025-09-30,ITEM_08,75,4,18,2
2025-10-01,ITEM_01,212,2,51,1
2025-10-01,ITEM_02,100,1,24,2
2025-10-01,ITEM_03,87,0,21,2
2025-10-01,ITEM_04,125,2,30,1
2025-10-01,ITEM_05,150,3,36,1
2025-10-01,ITEM_06,37,1,9,2
2025-10-01,ITEM_07,62,2,15,2
2025-10-01,ITEM_08,75,22,18,2
2025-10-02,ITEM_01,212,0,51,1
2025-10-02,ITEM_02,100,2,24,2
2025-10-02,ITEM_03,87,0,21,2
2025-10-02,ITEM_04,125,0,30,1
2025-10-02,ITEM_05,150,0,36,1
2025-10-02,ITEM_06,37,1,9,2
2025-10-02,ITEM_07,62,4,15,2
2025-10-02,ITEM_08,75,2,18,2
2025-10-03,ITEM_01,212,5,51,1
2025-10-03,ITEM_02,100,3,24,2
2025-10-03,ITEM_03,87,4,21,2
2025-10-03,ITEM_04,125,4,30,1
2025-10-03,ITEM_05,150,3,36,1
2025-10-03,ITEM_06,37,0,9,2
2025-10-03,ITEM_07,62,4,15,2
2025-10-03,ITEM_08,75,2,18,2
2025-10-04,ITEM_01,212,2,51,1
2025-10-04,ITEM_02,100,3,24,2
2025-10-04,ITEM_03,87,4,21,2
2025-10-04,ITEM_04,125,0,30,1
2025-10-04,ITEM_05,150,3,36,1
2025-10-04,ITEM_06,37,2,9,2
2025-10-04,ITEM_07,62,2,15,2
2025-10-04,ITEM_08,75,3,18,2
2025-10-05,ITEM_01,212,3,51,1
2025-10-05,ITEM_02,100,1,24,2
2025-10-05,ITEM_03,87,2,21,2
2025-10-05,ITEM_04,125,0,30,1
2025-10-05,ITEM_05,150,0,36,1
2025-10-05,ITEM_06,37,1,9,2
2025-10-05,ITEM_07,62,1,15,2
2025-10-05,ITEM_08,75,2,18,2
2025-10-06,ITEM_01,212,1,51,1
2025-10-06,ITEM_02,100,2,24,2
2025-10-06,ITEM_03,87,2,21,2
2025-10-06,ITEM_04,125,3,30,1
2025-10-06,ITEM_05,150,2,36,1
2025-10-06,ITEM_06,37,25,9,2
2025-10-06,ITEM_07,62,1,15,2
2025-10-06,ITEM_08,75,1,18,2
2025-10-07,ITEM_01,212,2,51,1
2025-10-07,ITEM_02,100,2,24,2
2025-10-07,ITEM_03,87,2,21,2
2025-10-07,ITEM_04,125,4,30,1
2025-10-07,ITEM_05,150,3,36,1
2025-10-07,ITEM_06,37,2,9,2
2025-10-07,ITEM_07,62,5,15,2
2025-10-07,ITEM_08,75,1,18,2
2025-10-08,ITEM_01,212,1,51,1
2025-10-08,ITEM_02,100,3,24,2
2025-10-08,ITEM_03,87,22,21,2
2025-10-08,ITEM_04,125,2,30,1
2025-10-08,ITEM_05,150,3,36,1
2025-10-08,ITEM_06,37,3,9,2
2025-10-08,ITEM_07,62,2,15,2
2025-10-08,ITEM_08,75,0,18,2
2025-10-09,ITEM_01,212,1,51,1
2025-10-09,ITEM_02,100,1,24,2
2025-10-09,ITEM_03,87,1,21,2
2025-10-09,ITEM_04,125,2,30,1
2025-10-09,ITEM_05,150,3,36,1
2025-10-09,ITEM_06,37,0,9,2
2025-10-09,ITEM_07,62,2,15,2
2025-10-09,ITEM_08,75,4,18,2
2025-10-10,ITEM_01,212,4,51,1
2025-10-10,ITEM_02,100,1,24,2
2025-10-10,ITEM_03,87,1,21,2
2025-10-10,ITEM_04,125,1,30,1
2025-10-10,ITEM_05,150,2,36,1
2025-10-10,ITEM_06,37,3,9,2
2025-10-10,ITEM_07,62,3,15,2
2025-10-10,ITEM_08,75,0,18,2
2025-10-11,ITEM_01,212,2,51,1
2025-10-11,ITEM_02,100,0,24,2
2025-10-11,ITEM_03,87,2,21,2
2025-10-11,ITEM_04,125,2,30,1
2025-10-11,ITEM_05,150,1,36,1
2025-10-11,ITEM_06,37,0,9,2
2025-10-11,ITEM_07,62,3,15,2
2025-10-11,ITEM_08,75,5,18,2
2025-10-12,ITEM_01,212,1,51,1
2025-10-12,ITEM_02,100,1,24,2
2025-10-12,ITEM_03,87,1,21,2
2025-10-12,ITEM_04,125,2,30,1
2025-10-12,ITEM_05,150,2,36,1
2025-10-12,ITEM_06,37,0,9,2
2025-10-12,ITEM_07,62,31,15,2
2025-10-12,ITEM_08,75,0,18,2
2025-10-13,ITEM_01,212,4,51,1
2025-10-13,ITEM_02,100,2,24,2
2025-10-13,ITEM_03,87,1,21,2
2025-10-13,ITEM_04,125,1,30,1
2025-10-13,ITEM_05,150,0,36,1
2025-10-13,ITEM_06,37,2,9,2
2025-10-13,ITEM_07,62,2,15,2
2025-10-13,ITEM_08,75,4,18,2
2025-10-14,ITEM_01,212,2,51,1
2025-10-14,ITEM_02,100,1,24,2
2025-10-14,ITEM_03,87,0,21,2
2025-10-14,ITEM_04,125,3,30,1
2025-10-14,ITEM_05,150,0,36,1
2025-10-14,ITEM_06,37,2,9,2
2025-10-14,ITEM_07,62,2,15,2
2025-10-14,ITEM_08,75,0,18,2
2025-10-15,ITEM_01,212,1,51,1
2025-10-15,ITEM_02,100,2,24,2
2025-10-15,ITEM_03,87,0,21,2
2025-10-15,ITEM_04,125,1,30,1
2025-10-15,ITEM_05,150,2,36,1
2025-10-15,ITEM_06,37,0,9,2
2025-10-15,ITEM_07,62,3,15,2
2025-10-15,ITEM_08,75,4,18,2
2025-10-16,ITEM_01,212,4,51,1
2025-10-16,ITEM_02,100,4,24,2
2025-10-16,ITEM_03,87,3,21,2
2025-10-16,ITEM_04,125,3,30,1
2025-10-16,ITEM_05,150,1,36,1
2025-10-16,ITEM_06,37,5,9,2
2025-10-16,ITEM_07,62,0,15,2
2025-10-16,ITEM_08,75,2,18,2
2025-10-17,ITEM_01,212,1,51,1
2025-10-17,ITEM_02,100,3,24,2
2025-10-17,ITEM_03,87,0,21,2
2025-10-17,ITEM_04,125,2,30,1
2025-10-17,ITEM_05,150,4,36,1
2025-10-17,ITEM_06,37,3,9,2
2025-10-17,ITEM_07,62,1,15,2
2025-10-17,ITEM_08,75,1,18,2
2025-10-18,ITEM_01,212,4,51,1
2025-10-18,ITEM_02,100,2,24,2
2025-10-18,ITEM_03,87,0,21,2
2025-10-18,ITEM_04,125,1,30,1
2025-10-18,ITEM_05,150,6,36,1
2025-10-18,ITEM_06,37,19,9,2
2025-10-18,ITEM_07,62,5,15,2
2025-10-18,ITEM_08,75,2,18,2
2025-10-19,ITEM_01,212,1,51,1
2025-10-19,ITEM_02,100,1,24,2
2025-10-19,ITEM_03,87,2,21,2
2025-10-19,ITEM_04,125,2,30,1
2025-10-19,ITEM_05,150,1,36,1
2025-10-19,ITEM_06,37,2,9,2
2025-10-19,ITEM_07,62,2,15,2
2025-10-19,ITEM_08,75,0,18,2
2025-10-20,ITEM_01,212,2,51,1
2025-10-20,ITEM_02,100,5,24,2
2025-10-20,ITEM_03,87,2,21,2
2025-10-20,ITEM_04,125,3,30,1
2025-10-20,ITEM_05,150,2,36,1
2025-10-20,ITEM_06,37,0,9,2
2025-10-20,ITEM_07,62,1,15,2
2025-10-20,ITEM_08,75,3,18,2
2025-10-21,ITEM_01,212,2,51,1
2025-10-21,ITEM_02,100,3,24,2
2025-10-21,ITEM_03,87,2,21,2
2025-10-21,ITEM_04,125,2,30,1
2025-10-21,ITEM_05,150,5,36,1
2025-10-21,ITEM_06,37,1,9,2
2025-10-21,ITEM_07,62,2,15,2
2025-10-21,ITEM_08,75,0,18,2
2025-10-22,ITEM_01,212,3,51,1
2025-10-22,ITEM_02,100,2,24,2
2025-10-22,ITEM_03,87,2,21,2
2025-10-22,ITEM_04,125,1,30,1
2025-10-22,ITEM_05,150,2,36,1
2025-10-22,ITEM_06,37,2,9,2
2025-10-22,ITEM_07,62,3,15,2
2025-10-22,ITEM_08,75,1,18,2
2025-10-23,ITEM_01,212,3,51,1
2025-10-23,ITEM_02,100,1,24,2
2025-10-23,ITEM_03,87,0,21,2
2025-10-23,ITEM_04,125,0,30,1
2025-10-23,ITEM_05,150,3,36,1
2025-10-23,ITEM_06,37,3,9,2
2025-10-23,ITEM_07,62,2,15,2
2025-10-23,ITEM_08,75,3,18,2
2025-10-24,ITEM_01,212,2,51,1
2025-10-24,ITEM_02,100,3,24,2
2025-10-24,ITEM_03,87,1,21,2
2025-10-24,ITEM_04,125,3,30,1
2025-10-24,ITEM_05,150,1,36,1
2025-10-24,ITEM_06,37,1,9,2
2025-10-24,ITEM_07,62,4,15,2
2025-10-24,ITEM_08,75,2,18,2
2025-10-25,ITEM_01,212,1,51,1
2025-10-25,ITEM_02,100,3,24,2
2025-10-25,ITEM_03,87,1,21,2
2025-10-25,ITEM_04,125,2,30,1
2025-10-25,ITEM_05,150,2,36,1
2025-10-25,ITEM_06,37,0,9,2
2025-10-25,ITEM_07,62,5,15,2
2025-10-25,ITEM_08,75,2,18,2
2025-10-26,ITEM_01,212,0,51,1
2025-10-26,ITEM_02,100,1,24,2
2025-10-26,ITEM_03,87,1,21,2
2025-10-26,ITEM_04,125,2,30,1
2025-10-26,ITEM_05,150,3,36,1
2025-10-26,ITEM_06,37,1,9,2
2025-10-26,ITEM_07,62,2,15,2
2025-10-26,ITEM_08,75,3,18,2
2025-10-27,ITEM_01,212,3,51,1
2025-10-27,ITEM_02,100,2,24,2
2025-10-27,ITEM_03,87,0,21,2
2025-10-27,ITEM_04,125,4,30,1
2025-10-27,ITEM_05,150,4,36,1
2025-10-27,ITEM_06,37,0,9,2
2025-10-27,ITEM_07,62,5,15,2
2025-10-27,ITEM_08,75,1,18,2
2025-10-28,ITEM_01,212,4,51,1
2025-10-28,ITEM_02,100,1,24,2
2025-10-28,ITEM_03,87,1,21,2
2025-10-28,ITEM_04,125,3,30,1
2025-10-28,ITEM_05,150,1,36,1
2025-10-28,ITEM_06,37,4,9,2
2025-10-28,ITEM_07,62,1,15,2
2025-10-28,ITEM_08,75,0,18,2
2025-10-29,ITEM_01,212,5,51,1
2025-10-29,ITEM_02,100,5,24,2
2025-10-29,ITEM_03,87,3,21,2
2025-10-29,ITEM_04,125,2,30,1
2025-10-29,ITEM_05,150,4,36,1
2025-10-29,ITEM_06,37,4,9,2
2025-10-29,ITEM_07,62,0,15,2
2025-10-29,ITEM_08,75,2,18,2
2025-10-30,ITEM_01,212,1,51,1
2025-10-30,ITEM_02,100,3,24,2
2025-10-30,ITEM_03,87,4,21,2
2025-10-30,ITEM_04,125,3,30,1
2025-10-30,ITEM_05,150,3,36,1
2025-10-30,ITEM_06,37,4,9,2
2025-10-30,ITEM_07,62,0,15,2
2025-10-30,ITEM_08,75,3,18,2
2025-10-31,ITEM_01,212,1,51,1
2025-10-31,ITEM_02,100,1,24,2
2025-10-31,ITEM_03,87,1,21,2
2025-10-31,ITEM_04,125,1,30,1
2025-10-31,ITEM_05,150,1,36,1
2025-10-31,ITEM_06,37,2,9,2
2025-10-31,ITEM_07,62,3,15,2
2025-10-31,ITEM_08,75,4,18,2
2025-11-01,ITEM_01,212,3,51,1
2025-11-01,ITEM_02,100,1,24,2
2025-11-01,ITEM_03,87,1,21,2
2025-11-01,ITEM_04,125,1,30,1
2025-11-01,ITEM_05,150,3,36,1
2025-11-01,ITEM_06,37,0,9,2
2025-11-01,ITEM_07,62,1,15,2
2025-11-01,ITEM_08,75,0,18,2
2025-11-02,ITEM_01,212,2,51,1
2025-11-02,ITEM_02,100,1,24,2
2025-11-02,ITEM_03,87,1,21,2
2025-11-02,ITEM_04,125,3,30,1
2025-11-02,ITEM_05,150,3,36,1
2025-11-02,ITEM_06,37,1,9,2
2025-11-02,ITEM_07,62,0,15,2
2025-11-02,ITEM_08,75,2,18,2
2025-11-03,ITEM_01,212,3,51,1
2025-11-03,ITEM_02,100,2,24,2
2025-11-03,ITEM_03,87,2,21,2
2025-11-03,ITEM_04,125,2,30,1
2025-11-03,ITEM_05,150,1,36,1
2025-11-03,ITEM_06,37,3,9,2
2025-11-03,ITEM_07,62,2,15,2
2025-11-03,ITEM_08,75,5,18,2
2025-11-04,ITEM_01,212,5,51,1
2025-11-04,ITEM_02,100,2,24,2
2025-11-04,ITEM_03,87,2,21,2
2025-11-04,ITEM_04,125,4,30,1
2025-11-04,ITEM_05,150,0,36,1
2025-11-04,ITEM_06,37,29,9,2
2025-11-04,ITEM_07,62,2,15,2
2025-11-04,ITEM_08,75,2,18,2
2025-11-05,ITEM_01,212,16,51,1
2025-11-05,ITEM_02,100,3,24,2
2025-11-05,ITEM_03,87,0,21,2
2025-11-05,ITEM_04,125,1,30,1
2025-11-05,ITEM_05,150,1,36,1
2025-11-05,ITEM_06,37,0,9,2
2025-11-05,ITEM_07,62,2,15,2
2025-11-05,ITEM_08,75,2,18,2
2025-11-06,ITEM_01,212,2,51,1
2025-11-06,ITEM_02,100,2,24,2
2025-11-06,ITEM_03,87,1,21,2
2025-11-06,ITEM_04,125,3,30,1
2025-11-06,ITEM_05,150,3,36,1
2025-11-06,ITEM_06,37,3,9,2
2025-11-06,ITEM_07,62,2,15,2
2025-11-06,ITEM_08,75,4,18,2
2025-11-07,ITEM_01,212,0,51,1
2025-11-07,ITEM_02,100,0,24,2
2025-11-07,ITEM_03,87,2,21,2
2025-11-07,ITEM_04,125,1,30,1
2025-11-07,ITEM_05,150,0,36,1
2025-11-07,ITEM_06,37,3,9,2
2025-11-07,ITEM_07,62,1,15,2
2025-11-07,ITEM_08,75,3,18,2
2025-11-08,ITEM_01,212,1,51,1
2025-11-08,ITEM_02,100,1,24,2
2025-11-08,ITEM_03,87,2,21,2
2025-11-08,ITEM_04,125,2,30,1
2025-11-08,ITEM_05,150,1,36,1
2025-11-08,ITEM_06,37,0,9,2
2025-11-08,ITEM_07,62,3,15,2
2025-11-08,ITEM_08,75,4,18,2
2025-11-09,ITEM_01,212,4,51,1
2025-11-09,ITEM_02,100,2,24,2
2025-11-09,ITEM_03,87,2,21,2
2025-11-09,ITEM_04,125,0,30,1
2025-11-09,ITEM_05,150,0,36,1
2025-11-09,ITEM_06,37,3,9,2
2025-11-09,ITEM_07,62,2,15,2
2025-11-09,ITEM_08,75,1,18,2
2025-11-10,ITEM_01,212,3,51,1
2025-11-10,ITEM_02,100,1,24,2
2025-11-10,ITEM_03,87,2,21,2
2025-11-10,ITEM_04,125,1,30,1
2025-11-10,ITEM_05,150,1,36,1
2025-11-10,ITEM_06,37,5,9,2
2025-11-10,ITEM_07,62,1,15,2
2025-11-10,ITEM_08,75,2,18,2
2025-11-11,ITEM_01,212,1,51,1
2025-11-11,ITEM_02,100,1,24,2
2025-11-11,ITEM_03,87,2,21,2
2025-11-11,ITEM_04,125,0,30,1
2025-11-11,ITEM_05,150,4,36,1
2025-11-11,ITEM_06,37,1,9,2
2025-11-11,ITEM_07,62,5,15,2
2025-11-11,ITEM_08,75,2,18,2
2025-11-12,ITEM_01,212,0,51,1
2025-11-12,ITEM_02,100,2,24,2
2025-11-12,ITEM_03,87,5,21,2
2025-11-12,ITEM_04,125,3,30,1
2025-11-12,ITEM_05,150,2,36,1
2025-11-12,ITEM_06,37,2,9,2
2025-11-12,ITEM_07,62,1,15,2
2025-11-12,ITEM_08,75,2,18,2
2025-11-13,ITEM_01,212,1,51,1
2025-11-13,ITEM_02,100,2,24,2
2025-11-13,ITEM_03,87,1,21,2
2025-11-13,ITEM_04,125,4,30,1
2025-11-13,ITEM_05,150,1,36,1
2025-11-13,ITEM_06,37,1,9,2
2025-11-13,ITEM_07,62,4,15,2
2025-11-13,ITEM_08,75,2,18,2
2025-11-14,ITEM_01,212,23,51,1
2025-11-14,ITEM_02,100,2,24,2
2025-11-14,ITEM_03,87,2,21,2
2025-11-14,ITEM_04,125,0,30,1
2025-11-14,ITEM_05,150,2,36,1
2025-11-14,ITEM_06,37,0,9,2
2025-11-14,ITEM_07,62,2,15,2
2025-11-14,ITEM_08,75,2,18,2
2025-11-15,ITEM_01,212,0,51,1
2025-11-15,ITEM_02,100,1,24,2
2025-11-15,ITEM_03,87,5,21,2
2025-11-15,ITEM_04,125,2,30,1
2025-11-15,ITEM_05,150,0,36,1
2025-11-15,ITEM_06,37,19,9,2
2025-11-15,ITEM_07,62,1,15,2
2025-11-15,ITEM_08,75,1,18,2
2025-11-16,ITEM_01,212,4,51,1
2025-11-16,ITEM_02,100,1,24,2
2025-11-16,ITEM_03,87,1,21,2
2025-11-16,ITEM_04,125,3,30,1
2025-11-16,ITEM_05,150,0,36,1
2025-11-16,ITEM_06,37,0,9,2
2025-11-16,ITEM_07,62,3,15,2
2025-11-16,ITEM_08,75,1,18,2
2025-11-17,ITEM_01,212,2,51,1
2025-11-17,ITEM_02,100,2,24,2
2025-11-17,ITEM_03,87,2,21,2
2025-11-17,ITEM_04,125,1,30,1
2025-11-17,ITEM_05,150,2,36,1
2025-11-17,ITEM_06,37,3,9,2
2025-11-17,ITEM_07,62,2,15,2
2025-11-17,ITEM_08,75,1,18,2
2025-11-18,ITEM_01,212,3,51,1
2025-11-18,ITEM_02,100,6,24,2
2025-11-18,ITEM_03,87,0,21,2
2025-11-18,ITEM_04,125,0,30,1
2025-11-18,ITEM_05,150,5,36,1
2025-11-18,ITEM_06,37,1,9,2
2025-11-18,ITEM_07,62,1,15,2
2025-11-18,ITEM_08,75,1,18,2
2025-11-19,ITEM_01,212,1,51,1
